TIME,S_MIN,S_MAX,S_MID,S_COUNT,S_VAR,T_MIN,T_MAX,T_MID,T_COUNT,T_VAR,SGR_MIN,SGR_MAX,SGR_MID,SGR_COUNT,SGR_VAR,SO
995,-7.69 ,47.42 ,11.95 ,28,19.33 ,4.78 ,65.18 ,22.35 ,19,16.55 ,0.45 ,0.46 ,0.46 ,2,0.005,0.2339
996,-7.78 ,42.92 ,11.13 ,20,13.54 ,3.79 ,80.46 ,27.10 ,22,21.82 ,0.44 ,0.60 ,0.49 ,34,0.0458,0.1921
997,-6.54 ,41.39 ,7.12 ,30,11.91 ,2.92 ,83.51 ,24.47 ,22,21.40 ,0.45 ,0.57 ,0.49 ,6,0.0402,0
998,-6.79 ,48.93 ,16.34 ,45,14.89 ,3.95 ,81.89 ,21.74 ,22,17.07 ,0.43 ,0.74 ,0.48 ,37,0.0632,0.099
999,-7.45 ,50.08 ,12.42 ,26,21.53 ,3.01 ,77.42 ,24.51 ,16,19.35 ,0.43 ,0.53 ,0.48 ,5,0.0372,0.1255
1000,-10.38 ,48.37 ,11.69 ,26,15.96 ,1.78 ,62.75 ,21.68 ,17,15.82 ,0.42 ,0.66 ,0.48 ,35,0.0619,0.2474
1006,-8.21 ,46.42 ,13.30 ,51,13.38 ,3.39 ,72.61 ,20.32 ,22,17.00 ,0.40 ,0.58 ,0.48 ,14,0.0526,0.1329
1007,-7.11 ,51.63 ,14.44 ,26,22.53 ,6.50 ,74.98 ,22.78 ,21,18.01 ,0.40 ,0.52 ,0.45 ,34,0.0336,0.252
1008,-8.23 ,50.01 ,11.98 ,30,15.95 ,7.51 ,71.96 ,20.78 ,18,14.47 ,0.41 ,0.55 ,0.48 ,10,0.039,0.2492
1011,-6.73 ,50.18 ,15.52 ,26,22.10 ,8.18 ,67.48 ,21.51 ,20,15.62 ,0.39 ,0.52 ,0.45 ,39,0.0374,0.2635
1012,-5.30 ,49.80 ,14.91 ,28,17.03 ,8.55 ,72.50 ,20.73 ,22,16.86 ,0.41 ,0.52 ,0.46 ,11,0.0375,0.2427
1013,-7.77 ,51.01 ,11.56 ,15,16.41 ,8.43 ,69.55 ,22.39 ,19,16.56 ,0.31 ,0.53 ,0.45 ,39,0.0476,0.181
1014,-11.48 ,39.54 ,8.85 ,51,13.27 ,8.27 ,57.99 ,21.26 ,22,12.73 ,0.40 ,0.51 ,0.46 ,10,0.0418,0.1597
1015,-5.47 ,48.30 ,16.11 ,25,20.73 ,8.49 ,53.64 ,21.26 ,21,13.35 ,0.38 ,0.54 ,0.45 ,41,0.0497,0.3096
1016,-4.66 ,48.63 ,16.22 ,24,17.64 ,9.67 ,67.87 ,21.51 ,22,15.58 ,0.36 ,0.51 ,0.46 ,12,0.0433,0.2406
1017,-6.05 ,50.30 ,13.18 ,21,16.06 ,9.70 ,72.44 ,22.58 ,20,17.70 ,0.36 ,0.54 ,0.46 ,43,0.0562,0
1018,-10.94 ,36.58 ,7.79 ,48,12.69 ,9.97 ,68.35 ,18.89 ,20,12.15 ,0.35 ,0.52 ,0.45 ,11,0.0461,0
1019,-5.73 ,47.33 ,15.52 ,25,19.69 ,10.30 ,61.65 ,22.01 ,22,12.96 ,0.37 ,0.54 ,0.46 ,44,0.0547,0.2862
1020,-4.55 ,48.46 ,15.16 ,22,19.09 ,10.47 ,49.00 ,21.81 ,22,12.49 ,0.40 ,0.53 ,0.45 ,11,0.0375,0.2693
1021,-4.60 ,49.46 ,15.90 ,24,16.07 ,11.84 ,61.83 ,20.79 ,20,13.87 ,0.36 ,0.54 ,0.47 ,43,0.0513,0.2423
1022,-7.96 ,31.71 ,7.75 ,45,11.23 ,10.77 ,72.97 ,25.27 ,15,19.16 ,0.39 ,0.54 ,0.45 ,14,0.0419,0.1836
1023,-5.78 ,45.61 ,13.34 ,25,17.51 ,10.55 ,73.36 ,21.63 ,22,16.64 ,0.22 ,0.55 ,0.48 ,43,0.0634,0.1539
1024,-5.63 ,48.36 ,16.30 ,21,20.72 ,11.46 ,62.16 ,21.27 ,23,12.74 ,0.37 ,0.56 ,0.48 ,12,0.0646,0.1519
1025,-5.14 ,48.18 ,12.65 ,26,15.06 ,10.59 ,46.22 ,20.97 ,23,9.97 ,0.38 ,0.56 ,0.49 ,46,0.0582,0.1499
1026,-4.71 ,25.50 ,9.21 ,41,9.03 ,12.08 ,57.69 ,25.01 ,16,13.53 ,0.39 ,0.57 ,0.48 ,15,0.0684,0.1029
1027,-5.83 ,43.16 ,13.12 ,26,15.39 ,10.81 ,69.29 ,22.19 ,23,14.80 ,0.41 ,0.68 ,0.50 ,43,0.0561,0.0875
1028,-7.73 ,47.00 ,13.73 ,23,20.12 ,11.26 ,73.78 ,23.85 ,21,16.96 ,0.42 ,0.56 ,0.50 ,17,0.0595,0.1585
1029,-5.73 ,46.50 ,14.04 ,20,16.02 ,9.07 ,69.76 ,21.72 ,24,14.71 ,0.39 ,0.56 ,0.49 ,38,0.0512,0
1030,-5.99 ,21.86 ,11.44 ,46,7.61 ,10.27 ,53.92 ,22.31 ,21,11.86 ,0.37 ,0.57 ,0.49 ,19,0.0644,0
1031,-6.11 ,40.92 ,14.15 ,25,13.47 ,11.92 ,55.96 ,23.97 ,20,11.72 ,0.35 ,0.55 ,0.49 ,36,0.0532,0
1032,-8.96 ,44.39 ,16.47 ,19,19.41 ,10.39 ,69.92 ,26.87 ,22,16.80 ,0.34 ,0.57 ,0.51 ,21,0.0645,0
1033,-7.42 ,43.63 ,13.81 ,18,15.95 ,10.91 ,72.59 ,23.94 ,24,15.67 ,0.32 ,0.56 ,0.48 ,36,0.0653,0
1036,-8.26 ,41.53 ,17.06 ,19,18.04 ,9.62 ,51.70 ,22.77 ,25,10.88 ,0.41 ,0.58 ,0.52 ,24,0.0641,0.202
1037,-8.66 ,41.26 ,10.59 ,17,14.81 ,10.58 ,67.41 ,26.92 ,22,16.04 ,0.32 ,0.61 ,0.51 ,33,0.0652,0.2262
1038,-5.96 ,28.18 ,18.22 ,47,11.25 ,13.29 ,69.49 ,25.62 ,21,15.39 ,0.41 ,0.65 ,0.54 ,22,0.071,0.1232
1039,-5.42 ,37.45 ,18.09 ,24,10.97 ,10.89 ,67.43 ,24.92 ,20,14.31 ,0.42 ,0.68 ,0.53 ,34,0.0717,0
1040,-4.96 ,39.05 ,17.63 ,20,15.88 ,7.49 ,55.53 ,22.49 ,20,9.95 ,0.42 ,0.72 ,0.55 ,25,0.0725,0.2124
1041,-6.77 ,39.52 ,13.13 ,14,14.77 ,5.98 ,48.53 ,22.18 ,24,11.57 ,0.43 ,0.71 ,0.53 ,32,0.0766,0
1042,-5.41 ,38.79 ,21.06 ,44,15.14 ,8.93 ,65.79 ,25.67 ,24,15.04 ,0.46 ,0.70 ,0.55 ,26,0.0568,0
1043,-4.93 ,34.99 ,18.94 ,28,11.99 ,13.88 ,67.79 ,26.33 ,23,13.88 ,0.46 ,0.72 ,0.54 ,26,0.0711,0.2571
1044,-2.80 ,36.97 ,18.99 ,19,13.55 ,11.00 ,64.49 ,26.92 ,18,13.83 ,0.47 ,0.64 ,0.55 ,32,0.04,0.1918
1045,-4.23 ,37.30 ,11.99 ,15,13.93 ,11.88 ,55.03 ,25.09 ,22,10.45 ,0.48 ,0.67 ,0.54 ,26,0.0405,0.1858
1053,-2.53 ,26.96 ,11.85 ,12,9.61 ,14.03 ,65.28 ,28.87 ,19,13.85 ,0.50 ,0.67 ,0.56 ,28,0.0411,0.0048
1054,-2.60 ,50.37 ,23.77 ,27,16.92 ,13.90 ,64.59 ,26.43 ,22,12.85 ,0.51 ,0.60 ,0.57 ,30,0.0306,0
1055,-3.71 ,52.58 ,24.62 ,41,16.85 ,14.51 ,52.90 ,27.74 ,25,8.84 ,0.43 ,0.60 ,0.53 ,29,0.0381,0
1057,-4.38 ,25.87 ,10.24 ,13,9.60 ,17.21 ,50.73 ,30.02 ,20,9.18 ,0.42 ,0.60 ,0.54 ,27,0.0357,0
1060,-3.56 ,40.80 ,16.77 ,25,13.55 ,14.38 ,57.67 ,28.44 ,24,10.30 ,0.51 ,0.64 ,0.59 ,31,0.0428,0
1061,-3.73 ,28.87 ,11.36 ,10,8.76 ,14.88 ,43.15 ,28.67 ,24,8.66 ,0.50 ,0.64 ,0.54 ,29,0.03,0
1062,-2.95 ,16.72 ,9.46 ,9,7.29 ,19.44 ,55.09 ,32.63 ,19,9.23 ,0.51 ,0.65 ,0.59 ,28,0.0419,0
1063,-1.38 ,52.08 ,32.22 ,47,15.16 ,15.15 ,60.99 ,29.87 ,25,10.52 ,0.50 ,0.63 ,0.54 ,30,0.0288,0
1068,-1.69 ,49.32 ,21.52 ,32,15.79 ,17.15 ,63.13 ,32.64 ,23,11.52 ,0.51 ,0.71 ,0.61 ,29,0.0541,0.0402
1069,-0.58 ,16.68 ,9.26 ,10,7.26 ,18.33 ,67.28 ,32.43 ,24,12.95 ,0.50 ,0.69 ,0.56 ,29,0.0421,0.3853
1070,-1.09 ,22.79 ,11.28 ,9,9.54 ,17.91 ,65.21 ,33.15 ,22,12.00 ,0.50 ,0.69 ,0.60 ,32,0.0544,0.527
1083,0.55 ,51.76 ,36.42 ,31,16.22 ,20.17 ,52.08 ,28.99 ,25,7.56 ,0.44 ,0.64 ,0.52 ,27,0.0797,0.125
1084,1.09 ,54.39 ,34.71 ,30,15.96 ,21.53 ,52.39 ,30.50 ,28,8.55 ,0.44 ,0.63 ,0.55 ,29,0.0686,0.049
1086,4.07 ,27.68 ,14.32 ,13,8.42 ,19.29 ,44.03 ,29.42 ,23,7.12 ,0.44 ,0.68 ,0.54 ,28,0.0781,0.028
1087,2.08 ,51.80 ,38.86 ,27,15.16 ,9.73 ,43.28 ,27.94 ,24,8.56 ,0.42 ,0.64 ,0.52 ,29,0.0925,0.0803
1088,1.27 ,55.37 ,38.80 ,29,14.76 ,16.36 ,44.22 ,29.15 ,24,7.81 ,0.41 ,0.65 ,0.53 ,30,0.0871,0.157
1089,1.99 ,29.98 ,16.00 ,15,9.30 ,20.91 ,44.26 ,28.59 ,24,6.35 ,0.40 ,0.66 ,0.50 ,28,0.0958,0
1090,4.34 ,30.58 ,14.94 ,16,9.78 ,18.68 ,44.40 ,28.72 ,24,7.35 ,0.35 ,0.62 ,0.51 ,27,0.0877,0.0867
1091,4.91 ,52.53 ,39.89 ,22,14.75 ,15.90 ,44.61 ,27.29 ,26,7.64 ,0.38 ,0.61 ,0.49 ,29,0.0908,0.0156
1092,3.71 ,55.29 ,41.14 ,31,13.93 ,18.32 ,44.94 ,28.59 ,23,6.55 ,0.37 ,0.61 ,0.50 ,25,0.076,0.3838
1093,4.16 ,32.07 ,20.56 ,15,9.25 ,7.59 ,45.15 ,28.47 ,24,8.39 ,0.36 ,0.60 ,0.47 ,32,0.0867,0.2316
1094,5.29 ,35.16 ,15.93 ,18,10.33 ,10.93 ,44.90 ,27.87 ,27,7.76 ,0.35 ,0.60 ,0.48 ,26,0.0739,0.2469
1095,6.35 ,52.71 ,38.00 ,15,17.06 ,19.55 ,45.54 ,28.66 ,23,7.07 ,0.36 ,0.59 ,0.46 ,29,0.0791,0.6304
1096,5.84 ,56.32 ,43.59 ,36,13.56 ,14.19 ,46.29 ,27.01 ,26,7.92 ,0.35 ,0.58 ,0.47 ,28,0.0753,0.6935
1097,10.29 ,37.17 ,25.02 ,13,9.22 ,13.37 ,46.63 ,28.02 ,27,8.19 ,0.36 ,0.58 ,0.45 ,33,0.0714,0.6323
1099,6.01 ,36.09 ,16.33 ,13,11.10 ,6.03 ,46.04 ,28.20 ,23,9.02 ,0.29 ,0.56 ,0.45 ,33,0.0649,0.5831
1100,7.97 ,55.67 ,47.65 ,41,11.40 ,8.77 ,45.91 ,28.13 ,22,9.30 ,0.34 ,0.56 ,0.45 ,24,0.0649,0
1101,10.48 ,55.43 ,28.84 ,14,11.73 ,13.73 ,47.34 ,27.24 ,27,8.50 ,0.31 ,0.55 ,0.45 ,34,0.0544,0.139
1102,6.54 ,38.80 ,20.93 ,13,11.88 ,12.72 ,47.50 ,27.30 ,31,8.87 ,0.34 ,0.55 ,0.45 ,23,0.0578,0.0408
1103,5.22 ,35.90 ,14.70 ,15,9.90 ,13.43 ,46.94 ,27.82 ,24,7.97 ,0.34 ,0.54 ,0.45 ,31,0.046,0.5627
1104,8.39 ,57.46 ,49.70 ,39,12.13 ,9.31 ,46.10 ,28.83 ,21,8.90 ,0.34 ,0.54 ,0.44 ,26,0.0523,0.5277
1105,10.22 ,55.21 ,32.19 ,16,13.00 ,5.15 ,45.86 ,27.71 ,25,11.03 ,0.37 ,0.53 ,0.45 ,29,0.0366,0.3302
1108,6.61 ,60.15 ,50.23 ,37,14.87 ,14.56 ,47.44 ,27.54 ,29,9.58 ,0.40 ,0.52 ,0.44 ,25,0.0316,0.6194
1109,10.42 ,57.68 ,39.87 ,17,14.54 ,15.68 ,46.44 ,29.67 ,21,9.87 ,0.38 ,0.52 ,0.45 ,33,0.0338,0.5093
1111,5.77 ,32.68 ,16.50 ,17,9.83 ,7.66 ,45.43 ,28.61 ,26,11.06 ,0.38 ,0.50 ,0.44 ,30,0.0267,0
1112,7.37 ,62.24 ,49.21 ,37,17.47 ,6.22 ,46.31 ,25.67 ,23,12.91 ,0.38 ,0.49 ,0.44 ,25,0.0258,0.3836
1113,10.35 ,59.51 ,43.50 ,20,15.11 ,11.17 ,47.41 ,26.86 ,34,9.58 ,0.36 ,0.49 ,0.43 ,32,0.0261,0.6902
1114,8.52 ,39.79 ,28.74 ,10,10.66 ,13.68 ,47.56 ,28.64 ,27,10.00 ,0.40 ,0.48 ,0.44 ,23,0.0212,0.7542
1115,6.69 ,31.75 ,19.02 ,14,10.25 ,13.40 ,46.83 ,30.03 ,21,10.04 ,0.34 ,0.49 ,0.44 ,31,0.0276,0.7819
1116,7.18 ,64.53 ,45.59 ,40,20.47 ,11.30 ,44.98 ,28.37 ,23,10.37 ,0.40 ,0.49 ,0.44 ,29,0.0227,0.6808
1119,7.51 ,34.31 ,21.63 ,12,11.12 ,12.34 ,47.83 ,27.90 ,36,8.88 ,0.41 ,0.51 ,0.44 ,24,0.0274,0.3515
1120,7.91 ,64.83 ,44.28 ,40,19.87 ,13.92 ,47.54 ,29.39 ,24,9.32 ,0.42 ,0.51 ,0.44 ,29,0.0206,0.5625
1121,10.32 ,60.61 ,48.52 ,23,14.56 ,14.11 ,43.66 ,28.82 ,21,9.12 ,0.41 ,0.52 ,0.44 ,28,0.0261,0.7698
1122,12.61 ,58.26 ,38.55 ,12,16.18 ,14.03 ,46.11 ,31.35 ,24,9.62 ,0.41 ,0.47 ,0.44 ,28,0.0152,0.7304
1123,10.16 ,37.05 ,23.82 ,11,11.79 ,13.26 ,44.83 ,28.63 ,27,9.60 ,0.39 ,0.50 ,0.44 ,28,0.0205,0.7095
1124,9.46 ,63.23 ,45.69 ,39,17.44 ,14.10 ,46.45 ,27.99 ,25,9.71 ,0.37 ,0.46 ,0.42 ,24,0.0198,0.3876
1125,10.04 ,61.10 ,48.83 ,24,14.82 ,16.14 ,42.32 ,29.52 ,34,6.47 ,0.34 ,0.47 ,0.43 ,28,0.0259,0.363
1126,13.38 ,58.33 ,42.31 ,15,17.96 ,16.39 ,46.81 ,29.51 ,24,8.71 ,0.37 ,0.46 ,0.42 ,27,0.0217,0.3416
1129,13.04 ,60.96 ,49.72 ,33,13.80 ,15.82 ,43.96 ,28.93 ,22,8.08 ,0.36 ,0.44 ,0.42 ,31,0.02,0.437
1130,15.67 ,64.77 ,48.00 ,16,16.03 ,14.92 ,42.65 ,29.58 ,36,7.33 ,0.35 ,0.44 ,0.42 ,27,0.0156,0.4469
1131,13.41 ,62.95 ,36.77 ,11,17.82 ,19.32 ,43.73 ,30.22 ,26,7.23 ,0.32 ,0.44 ,0.42 ,28,0.0251,0.4997
1132,14.85 ,56.41 ,34.94 ,13,14.48 ,19.60 ,44.04 ,29.61 ,25,8.13 ,0.40 ,0.45 ,0.43 ,27,0.0126,0.5832
1133,16.44 ,61.93 ,52.41 ,51,12.34 ,18.96 ,44.04 ,29.73 ,23,7.30 ,0.39 ,0.52 ,0.42 ,26,0.0244,0.575
1134,18.38 ,66.23 ,50.09 ,16,14.40 ,16.39 ,43.89 ,29.37 ,25,7.67 ,0.39 ,0.52 ,0.43 ,28,0.0243,0.5362
1135,13.98 ,68.00 ,44.80 ,14,18.26 ,10.89 ,41.57 ,26.26 ,27,8.92 ,0.39 ,0.45 ,0.42 ,28,0.0172,0.4908
1137,21.10 ,61.91 ,53.00 ,51,11.74 ,19.60 ,42.58 ,28.25 ,26,6.99 ,0.39 ,0.45 ,0.42 ,27,0.0165,0.4954
1138,22.87 ,66.43 ,52.96 ,16,12.14 ,18.17 ,41.99 ,28.00 ,24,7.36 ,0.40 ,0.46 ,0.43 ,25,0.0184,0.4201
1139,14.02 ,67.87 ,48.08 ,15,17.75 ,16.55 ,38.56 ,26.57 ,22,6.64 ,0.40 ,0.48 ,0.43 ,30,0.0159,0.4833
1140,18.67 ,66.13 ,41.19 ,13,16.62 ,5.29 ,42.83 ,25.71 ,28,9.33 ,0.41 ,0.48 ,0.44 ,26,0.0211,0.453
1141,23.24 ,62.77 ,53.55 ,51,12.18 ,4.32 ,42.76 ,26.22 ,25,10.37 ,0.41 ,0.49 ,0.43 ,27,0.0171,0.4746
1142,25.35 ,66.29 ,53.91 ,17,10.77 ,15.53 ,41.63 ,30.77 ,39,6.21 ,0.41 ,0.49 ,0.44 ,30,0.0221,0.4947
1143,13.87 ,78.02 ,50.49 ,17,20.07 ,13.50 ,39.50 ,25.46 ,23,6.91 ,0.42 ,0.48 ,0.43 ,23,0.0141,0.3607
1144,17.55 ,77.06 ,46.17 ,13,19.69 ,11.92 ,39.87 ,24.34 ,24,7.05 ,0.41 ,0.47 ,0.43 ,30,0.0154,0.4538
1145,22.32 ,66.02 ,54.81 ,46,12.38 ,5.04 ,41.14 ,23.66 ,24,9.13 ,0.41 ,0.46 ,0.43 ,26,0.0143,0.5
1146,24.96 ,73.29 ,52.39 ,23,12.18 ,3.14 ,41.35 ,22.89 ,29,9.73 ,0.40 ,0.48 ,0.43 ,31,0.0203,0.5312
1147,16.22 ,80.82 ,49.90 ,15,17.79 ,12.26 ,40.12 ,29.77 ,29,8.18 ,0.39 ,0.47 ,0.43 ,24,0.0191,0.5553
1148,17.14 ,84.99 ,48.46 ,14,22.20 ,10.24 ,38.74 ,28.38 ,34,7.65 ,0.36 ,0.45 ,0.42 ,29,0.0225,0.5432
1149,20.67 ,78.93 ,56.36 ,43,13.08 ,9.42 ,38.00 ,23.98 ,25,6.84 ,0.36 ,0.45 ,0.42 ,24,0.0224,0.6007
1150,23.28 ,66.37 ,50.58 ,26,11.41 ,8.01 ,39.07 ,21.69 ,22,8.06 ,0.37 ,0.45 ,0.41 ,32,0.0219,0.6713
1151,25.32 ,76.15 ,51.47 ,15,14.99 ,8.79 ,39.30 ,20.70 ,28,8.55 ,0.37 ,0.44 ,0.42 ,25,0.0199,0.6273
1152,18.56 ,90.08 ,46.39 ,16,22.78 ,10.77 ,38.03 ,24.36 ,25,6.71 ,0.31 ,0.44 ,0.41 ,30,0.0272,0.6154
1153,19.87 ,87.56 ,55.67 ,39,14.72 ,9.07 ,41.92 ,29.05 ,34,9.42 ,0.36 ,0.44 ,0.42 ,23,0.0176,0.6573
1154,22.47 ,66.71 ,52.36 ,31,10.64 ,8.98 ,40.12 ,26.76 ,32,8.71 ,0.36 ,0.45 ,0.41 ,31,0.0208,0.7037
1155,23.44 ,66.65 ,48.12 ,16,12.56 ,10.29 ,36.59 ,21.55 ,24,6.85 ,0.36 ,0.44 ,0.42 ,26,0.017,0.6724
1156,21.25 ,88.46 ,45.20 ,13,19.44 ,11.96 ,37.12 ,20.89 ,28,7.43 ,0.37 ,0.44 ,0.41 ,30,0.0212,0.6314
1157,19.47 ,93.11 ,55.39 ,37,18.31 ,11.91 ,38.30 ,20.81 ,20,6.93 ,0.37 ,0.44 ,0.42 ,23,0.0193,0.5948
1158,22.33 ,71.66 ,53.42 ,35,10.50 ,10.58 ,37.59 ,22.71 ,27,6.21 ,0.35 ,0.44 ,0.41 ,30,0.0275,0.5379
1159,23.35 ,56.74 ,46.29 ,15,11.78 ,8.98 ,42.96 ,28.67 ,42,9.69 ,0.37 ,0.45 ,0.42 ,26,0.0175,0.5833
1160,22.82 ,83.48 ,46.46 ,15,16.86 ,8.34 ,39.78 ,24.35 ,29,8.33 ,0.37 ,0.44 ,0.42 ,28,0.0232,0.5139
1161,20.95 ,89.95 ,47.80 ,15,22.84 ,8.05 ,33.61 ,20.97 ,28,6.32 ,0.37 ,0.44 ,0.42 ,26,0.0184,0.3227
1162,20.07 ,81.47 ,55.68 ,57,11.58 ,9.79 ,38.57 ,20.40 ,19,8.00 ,0.37 ,0.44 ,0.41 ,29,0.0231,0.5473
1163,22.96 ,56.64 ,48.61 ,17,9.79 ,9.67 ,38.60 ,21.73 ,19,6.97 ,0.39 ,0.45 ,0.43 ,26,0.013,0.4661
1164,22.92 ,71.71 ,43.78 ,14,15.73 ,6.87 ,37.14 ,23.24 ,35,8.10 ,0.39 ,0.50 ,0.43 ,25,0.0198,0.4135
1165,22.61 ,78.98 ,48.44 ,15,18.55 ,5.47 ,40.50 ,27.54 ,43,8.84 ,0.42 ,0.50 ,0.44 ,27,0.0176,0.6213
1166,20.87 ,75.98 ,55.16 ,54,11.55 ,4.52 ,32.22 ,21.69 ,27,7.59 ,0.40 ,0.45 ,0.43 ,29,0.0126,0.6566
1167,21.69 ,55.82 ,49.74 ,21,9.19 ,6.91 ,38.06 ,21.69 ,23,8.19 ,0.40 ,0.45 ,0.43 ,27,0.0118,0.6479
1168,24.06 ,53.73 ,46.46 ,13,11.55 ,8.96 ,38.88 ,21.33 ,20,7.85 ,0.41 ,0.46 ,0.43 ,25,0.0126,0.5677
1169,23.01 ,62.94 ,45.30 ,15,14.56 ,7.67 ,38.26 ,21.42 ,20,8.11 ,0.36 ,0.45 ,0.43 ,29,0.0184,0.4465
1170,22.57 ,64.87 ,56.12 ,49,9.14 ,3.95 ,37.47 ,23.62 ,42,8.09 ,0.37 ,0.46 ,0.43 ,27,0.0156,0.3773
1171,21.58 ,60.07 ,49.64 ,27,10.49 ,2.48 ,36.71 ,26.22 ,37,7.72 ,0.39 ,0.47 ,0.43 ,28,0.0163,0.3135
1172,23.10 ,56.25 ,47.43 ,14,11.58 ,3.19 ,39.00 ,23.14 ,27,9.11 ,0.41 ,0.46 ,0.43 ,25,0.0147,0.3158
1173,25.96 ,62.09 ,48.01 ,15,11.65 ,8.50 ,39.99 ,21.60 ,23,9.64 ,0.41 ,0.48 ,0.44 ,30,0.0172,0.2992
1174,22.48 ,63.18 ,55.90 ,44,9.55 ,7.12 ,39.42 ,21.14 ,20,8.19 ,0.41 ,0.46 ,0.44 ,22,0.0135,0.3317
1175,22.72 ,65.74 ,52.85 ,33,8.74 ,3.16 ,38.94 ,20.49 ,21,9.92 ,0.42 ,0.48 ,0.44 ,29,0.0165,0.3735
1176,22.94 ,62.34 ,48.52 ,15,12.75 ,1.89 ,40.52 ,24.35 ,42,7.58 ,0.41 ,0.47 ,0.44 ,28,0.0151,0.3376
1177,26.14 ,63.51 ,45.42 ,14,13.74 ,2.89 ,42.60 ,24.90 ,44,7.86 ,0.40 ,0.49 ,0.44 ,27,0.0195,0.2903
1178,26.10 ,67.68 ,57.35 ,39,7.91 ,7.68 ,44.31 ,23.09 ,23,11.37 ,0.39 ,0.49 ,0.44 ,28,0.0234,0.2896
1179,23.13 ,68.12 ,53.77 ,39,9.62 ,6.49 ,42.74 ,21.05 ,19,9.89 ,0.37 ,0.49 ,0.44 ,28,0.0274,0.2687
1181,29.17 ,61.69 ,49.31 ,13,11.50 ,1.80 ,42.71 ,22.93 ,31,9.95 ,0.35 ,0.48 ,0.43 ,24,0.0285,0.3065
1182,30.59 ,70.47 ,56.84 ,33,8.98 ,2.53 ,45.40 ,23.87 ,39,8.93 ,0.37 ,0.47 ,0.42 ,27,0.0239,0.3401
1183,25.33 ,69.26 ,55.16 ,45,8.52 ,4.22 ,46.81 ,23.11 ,39,9.37 ,0.35 ,0.45 ,0.42 ,28,0.0251,0
1184,26.50 ,66.60 ,55.00 ,17,10.44 ,5.82 ,43.92 ,20.93 ,23,11.07 ,0.31 ,0.44 ,0.41 ,32,0.0275,0.178
1185,31.59 ,62.85 ,52.60 ,16,9.49 ,3.88 ,40.92 ,20.83 ,19,10.35 ,0.34 ,0.43 ,0.41 ,28,0.0248,0
1186,30.01 ,70.55 ,51.55 ,15,11.70 ,2.57 ,41.31 ,24.78 ,21,10.55 ,0.31 ,0.43 ,0.41 ,31,0.0296,0.3572
1187,32.94 ,72.09 ,57.10 ,54,6.49 ,2.35 ,44.06 ,24.04 ,42,11.03 ,0.32 ,0.43 ,0.41 ,30,0.0241,0.269
1188,30.60 ,62.40 ,54.30 ,25,9.11 ,3.44 ,45.49 ,20.56 ,29,9.58 ,0.36 ,0.45 ,0.41 ,35,0.0169,0.2547
1189,34.98 ,60.43 ,53.32 ,17,7.72 ,4.07 ,44.90 ,20.84 ,39,9.30 ,0.35 ,0.44 ,0.41 ,30,0.0184,0.225
1190,31.84 ,70.22 ,51.79 ,15,10.09 ,3.98 ,39.41 ,20.76 ,21,10.84 ,0.38 ,0.50 ,0.41 ,39,0.0186,0.2372
1191,36.54 ,72.82 ,57.50 ,48,6.55 ,3.53 ,41.05 ,23.68 ,19,9.89 ,0.36 ,0.43 ,0.41 ,33,0.0206,0.1591
1192,37.42 ,67.88 ,55.52 ,33,6.45 ,4.24 ,45.20 ,25.65 ,33,13.12 ,0.37 ,0.42 ,0.40 ,39,0.0117,0.2117
